trdmn,rf
199402,0.008719
199403,0.008719
199404,0.008719
199405,0.008719
199406,0.008719
199407,0.008719
199408,0.008719
199409,0.008719
199410,0.008719
199411,0.008719
199412,0.008719
199501,0.008719
199502,0.008719
199503,0.008719
199504,0.008719
199505,0.008719
199506,0.008719
199507,0.008719
199508,0.008719
199509,0.008719
199510,0.008719
199511,0.008719
199512,0.008719
199601,0.008719
199602,0.008719
199603,0.008719
199604,0.008719
199605,0.007346
199606,0.007346
199607,0.007346
199608,0.006022
199609,0.006022
199610,0.006022
199611,0.006022
199612,0.006022
199701,0.006022
199702,0.006022
199703,0.006022
199704,0.006022
199705,0.006022
199706,0.006022
199707,0.006022
199708,0.006022
199709,0.006022
199710,0.004606
199711,0.004606
199712,0.004606
199801,0.004606
199802,0.004606
199803,0.004249
199804,0.004249
199805,0.004249
199806,0.004249
199807,0.003891
199808,0.003891
199809,0.003891
199810,0.003891
199811,0.003891
199812,0.003097
199901,0.003097
199902,0.003097
199903,0.003097
199904,0.003097
199905,0.003097
199906,0.001856
199907,0.001856
199908,0.001856
199909,0.001856
199910,0.001856
199911,0.001856
199912,0.001856
200001,0.001856
200002,0.001856
200003,0.001856
200004,0.001856
200005,0.001856
200006,0.001856
200007,0.001856
200008,0.001856
200009,0.001856
200010,0.001856
200011,0.001856
200012,0.001856
200101,0.001856
200102,0.001856
200103,0.001856
200104,0.001856
200105,0.001856
200106,0.001856
200107,0.001856
200108,0.001856
200109,0.001856
200110,0.001856
200111,0.001856
200112,0.001856
200201,0.001856
200202,0.001635
200203,0.001635
200204,0.001635
200205,0.001635
200206,0.001635
200207,0.001635
200208,0.001635
200209,0.001635
200210,0.001635
200211,0.001635
200212,0.001635
200301,0.001635
200302,0.001635
200303,0.001635
200304,0.001635
200305,0.001635
200306,0.001635
200307,0.001635
200308,0.001635
200309,0.001635
200310,0.001635
200311,0.001635
200312,0.001635
200401,0.001635
200402,0.001635
200403,0.001635
200404,0.001635
200405,0.001635
200406,0.001635
200407,0.001635
200408,0.001635
200409,0.001635
200410,0.001856
200411,0.001856
200412,0.001856
200501,0.001856
200502,0.001856
200503,0.001856
200504,0.001856
200505,0.001856
200506,0.001856
200507,0.001856
200508,0.001856
200509,0.001856
200510,0.001856
200511,0.001856
200512,0.001856
200601,0.001856
200602,0.001856
200603,0.001856
200604,0.001856
200605,0.001856
200606,0.001856
200607,0.001856
200608,0.002076
200609,0.002076
200610,0.002076
200611,0.002076
200612,0.002076
200701,0.002076
200702,0.002076
200703,0.002296
200704,0.002296
200705,0.002515
200706,0.002515
200707,0.002734
200708,0.002952
200709,0.003169
200710,0.003169
200711,0.003169
200712,0.003386
200801,0.003386
200802,0.003386
200803,0.003386
200804,0.003386
200805,0.003386
200806,0.003386
200807,0.003386
200808,0.003386
200809,0.003386
200810,0.002952
200811,0.002076
200812,0.001856
200901,0.001856
200902,0.001856
200903,0.001856
200904,0.001856
200905,0.001856
200906,0.001856
200907,0.001856
200908,0.001856
200909,0.001856
200910,0.001856
200911,0.001856
200912,0.001856
201001,0.001856
201002,0.001856
201003,0.001856
201004,0.001856
201005,0.001856
201006,0.001856
201007,0.001856
201008,0.001856
201009,0.001856
201010,0.00206
201011,0.00206
201012,0.002263
201101,0.002263
201102,0.002466
201103,0.002466
201104,0.002669
201105,0.002669
201106,0.002669
201107,0.002871
201108,0.002871
201109,0.002871
201110,0.002871
201111,0.002871
201112,0.002871
201201,0.002871
201202,0.002871
201203,0.002871
201204,0.002871
201205,0.002871
201206,0.002669
201207,0.002466
201208,0.002466
201209,0.002466
201210,0.002466
201211,0.002466
201212,0.002466
201301,0.002466
201302,0.002466
201303,0.002466
201304,0.002466
201305,0.002466
201306,0.002466
201307,0.002466
201308,0.002466
201309,0.002466
201310,0.002466
201311,0.002466
201312,0.002466
201401,0.002466
201402,0.002466
201403,0.002466
201404,0.002466
201405,0.002466
201406,0.002466
201407,0.002466
201408,0.002466
201409,0.002466
201410,0.002466
201411,0.002263
201412,0.002263
201501,0.002263
201502,0.002263
201503,0.00206
201504,0.00206
201505,0.001856
201506,0.001652
201507,0.001652
201508,0.001447
201509,0.001447
201510,0.001241
201511,0.001241
201512,0.001241
201601,0.001241
201602,0.001241
201603,0.001241
201604,0.001241
201605,0.001241
201606,0.001241
201607,0.001241
201608,0.001241
201609,0.001241
201610,0.001241
201611,0.001241
201612,0.001241
201701,0.001241
201702,0.001241
201703,0.001241
201704,0.001241
201705,0.001241
201706,0.001241
201707,0.001241
201708,0.001241
201709,0.001241
201710,0.001241
201711,0.001241
201712,0.001241
201801,0.001241
201802,0.001241
201803,0.001241
201804,0.001241
201805,0.001241
201806,0.001241
201807,0.001241
201808,0.001241
201809,0.001241
201810,0.001241
201811,0.001241
201812,0.001241
201901,0.001241
201902,0.001241
201903,0.001241
201904,0.001241
201905,0.001241
201906,0.001241
201907,0.001241
201908,0.001241
201909,0.001241
201910,0.001241
201911,0.001241
201912,0.001241
202001,0.001241
202002,0.001241
202003,0.001241
202004,0.001241
202005,0.001241
202006,0.001241
202007,0.001241
202008,0.001241
202009,0.001241
202010,0.001241
202011,0.001241
202012,0.001241
202101,0.001241
202102,0.001241
202103,0.001241
202104,0.001241
202105,0.001241
202106,0.001241
202107,0.001241
202108,0.001241
202109,0.001241
202110,0.001241
202111,0.001241
202112,0.001241
202201,0.001241
202202,0.001241
202203,0.001241
202204,0.001241
202205,0.001241
202206,0.001241
202207,0.001241
202208,0.001241
202209,0.001241
